/OUT1 X,/OUT1 Y,/OUT2 X,/OUT2 Y,/OUT0 X,/OUT0 Y,/OUT2' X,/OUT2' Y,/OUT1' X,/OUT1' Y,/OUT0' X,/OUT0' Y,/I0/VQ X,/I0/VQ Y,/OUT3 X,/OUT3 Y
3.259999999999979e-06,1.683328455615146,3.259999999999979e-06,1.798824346272318,3.259999999999979e-06,0.3897754780756636,3.259999999999979e-06,0.001091364788212084,3.259999999999979e-06,1.095313480994139,3.259999999999979e-06,1.41423292190409,3.259999999999979e-06,1.141999881775503,3.259999999999979e-06,1.799464807385776
3.269999999999979e-06,1.703230001715164,3.269999999999979e-06,-0.0003782405495383515,3.269999999999979e-06,0.4104797301636179,3.269999999999979e-06,1.796579073202928,3.269999999999979e-06,1.113632649678359,3.269999999999979e-06,1.394829170961285,3.269999999999979e-06,1.141964245982354,3.269999999999979e-06,0.002572817850203084
3.279999999999979e-06,1.689443880021471,3.279999999999979e-06,1.799379625026581,3.279999999999979e-06,0.4305497375052827,3.279999999999979e-06,0.001717310957268051,3.279999999999979e-06,1.063743630291701,3.279999999999979e-06,1.374014012870494,3.279999999999979e-06,1.141926759322093,3.279999999999979e-06,0.000503444535877395
3.289999999999979e-06,1.708648076988822,3.289999999999979e-06,-0.0002420665220948631,3.289999999999979e-06,0.4510612257601258,3.289999999999979e-06,1.797559383061659,3.289999999999979e-06,1.084463439490629,3.289999999999979e-06,1.350732523899808,3.289999999999979e-06,1.14175167118437,3.289999999999979e-06,1.744907086606255
3.299999999999979e-06,1.695940090847471,3.299999999999979e-06,1.799388440135384,3.299999999999979e-06,0.4612968464286453,3.299999999999979e-06,0.0009604381433752036,3.299999999999979e-06,1.028962977400745,3.299999999999979e-06,1.336659056612325,3.299999999999979e-06,1.141924052200362,3.299999999999979e-06,1.79945320616984
3.309999999999978e-06,1.713836325233458,3.309999999999978e-06,1.299292176666048e-05,3.309999999999978e-06,0.4810616149303663,3.309999999999978e-06,1.797025391293427,3.309999999999978e-06,1.050244340859784,3.309999999999978e-06,1.317733187397212,3.309999999999978e-06,1.141888278607355,3.309999999999978e-06,0.002274886358490335
3.319999999999978e-06,1.70097880849369,3.319999999999978e-06,1.799911762758244,3.319999999999978e-06,0.499156958726384,3.319999999999978e-06,0.001517313805854817,3.319999999999978e-06,0.9993260207704256,3.319999999999978e-06,1.298634748463737,3.319999999999978e-06,1.141850849896805,3.319999999999978e-06,0.0004487919278932339
3.329999999999978e-06,1.718162634234889,3.329999999999978e-06,9.154064585127167e-05,3.329999999999978e-06,0.5187072941025154,3.329999999999978e-06,1.7978714824152,3.329999999999978e-06,1.023854117581852,3.329999999999978e-06,1.275834520961395,3.329999999999978e-06,1.141675793210168,3.329999999999978e-06,1.750667193980121
3.339999999999978e-06,1.706779871172346,3.339999999999978e-06,1.79978424597882,3.339999999999978e-06,0.5302573296311027,3.339999999999978e-06,0.0008410535281177785,3.339999999999978e-06,0.9641808979487899,3.339999999999978e-06,1.260037807010519,3.339999999999978e-06,1.141840884296867,3.339999999999978e-06,1.799440546338586
3.349999999999978e-06,1.723205581790594,3.349999999999978e-06,0.0003397337040657331,3.349999999999978e-06,0.5489563647163281,3.349999999999978e-06,1.797377362012736,3.349999999999978e-06,0.9854030321917758,3.349999999999978e-06,1.241919769579997,3.349999999999978e-06,1.141805008305504,3.349999999999978e-06,0.002010748425934049
